date,t_hs,t_hs_set,water_pressure,t_dhw,t_dhw_set,t_return,flow_rate,status_pump,runtime_comp,runtime_pump,posmix,qboh,qchhp,qsc,qch,qwp,qdhw,tvbh2,tliq2,tr2,ta2,tdhw2,mode,pump,ehs,bpv,t_v1,t_dhw1,t_vbh,t_outdoor_ot1,t_r1,v1,heat_slope,t_dhw_setpoint1,t_dhw_setpoint2,t_dhw_setpoint3,hyst_hp,t_ext,t_hc_set,t_hc,duration
2023-01-02 21:07:18.029700,29.7,0.0,1.242,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.5,14.5,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.7,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.8,0:00:08.462178
2023-01-02 21:07:48.311878,29.7,0.0,1.241,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.2,14.5,21.5,40.0,46.1,0,0,0,100,29.7,46.1,31.1,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,31.1,0:00:08.258306
2023-01-02 21:08:18.769995,29.7,0.0,1.241,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.9,14.5,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.8,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.7,0:00:08.434232
2023-01-02 21:08:49.276019,29.7,0.0,1.24,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.7,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.7,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.7,0:00:08.482160
2023-01-02 21:09:20.038079,29.7,0.0,1.242,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.9,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.9,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,31.0,0:00:08.738480
2023-01-02 21:09:51.535924,29.7,0.0,1.241,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.7,14.5,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.7,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.6,0:00:09.473910
2023-01-02 21:10:22.073956,29.7,0.0,1.242,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.0,14.3,21.5,40.0,46.1,0,0,0,100,29.7,46.1,31.0,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,31.1,0:00:09.515467
2023-01-02 21:10:54.835561,29.7,0.0,1.238,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.8,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.9,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.9,0:00:11.738796
2023-01-02 21:11:28.285093,29.7,0.0,1.238,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.8,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.8,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.8,0:00:14.429770
2023-01-02 21:11:58.279229,29.7,0.0,1.239,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.7,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.9,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,31.0,0:00:13.988770
2023-01-02 21:12:28.273479,29.7,0.0,1.24,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.8,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.7,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.6,0:00:13.976831
2023-01-02 21:12:59.275323,29.7,0.0,1.24,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.7,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.8,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.7,0:00:13.983742
2023-01-02 21:13:29.285451,29.7,0.0,1.239,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.6,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.6,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.6,0:00:13.992729
2023-01-02 21:13:59.279642,29.7,0.0,1.241,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.5,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.5,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.6,0:00:13.976624
2023-01-02 21:14:30.297647,29.7,0.0,1.24,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.6,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.8,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.9,0:00:13.999398
2023-01-02 21:15:00.275839,29.7,0.0,1.24,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.3,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.4,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.4,0:00:13.960701
2023-01-02 21:15:31.293685,29.7,0.0,1.242,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.3,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.4,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.5,0:00:13.999275
2023-01-02 21:16:01.287759,29.7,0.0,1.24,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.5,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.5,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.7,0:00:13.976646
2023-01-02 21:16:32.289670,29.7,0.0,1.24,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.2,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.4,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.5,0:00:13.981796
2023-01-02 21:17:02.283838,29.7,0.0,1.242,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.6,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.8,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.9,0:00:13.974882
2023-01-02 21:17:33.285947,29.7,0.0,1.241,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.5,14.0,21.5,40.0,46.0,0,0,0,100,29.7,46.1,30.5,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.3,0:00:13.982230
2023-01-02 21:18:03.921477,29.7,0.0,1.241,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.4,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.5,9.9,21.5,0,0.3,48.0,48.0,None,None,None,None,None,0:00:13.617304
2023-01-02 21:18:34.650156,29.7,0.0,1.241,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.7,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.0,30.6,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.5,0:00:13.710105
2023-01-02 21:19:05.780267,29.7,0.0,1.242,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.6,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.5,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.6,0:00:14.111518
2023-01-02 21:19:35.646598,29.7,0.0,1.239,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.7,14.0,21.5,40.0,46.1,0,0,0,100,29.7,46.1,30.5,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.5,0:00:13.848853
2023-01-02 21:20:06.296687,29.6,0.0,1.241,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.2,14.0,21.5,40.0,46.1,0,0,0,100,29.6,46.1,30.6,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.6,0:00:13.631488
2023-01-02 21:20:36.978842,29.6,0.0,1.241,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.8,14.0,21.5,40.0,46.1,0,0,0,100,29.6,46.1,30.7,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.6,0:00:13.664770
2023-01-02 21:21:07.660935,29.6,0.0,1.241,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.4,14.0,21.5,40.0,46.0,0,0,0,100,29.6,46.0,30.3,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.2,0:00:13.663510
2023-01-02 21:21:38.343184,29.6,0.0,1.241,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.4,14.0,21.5,40.0,46.0,0,0,0,100,29.6,46.0,30.3,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.2,0:00:13.663792
2023-01-02 21:22:08.993223,29.6,0.0,1.242,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.3,14.0,21.5,40.0,46.1,0,0,0,100,29.6,46.1,30.4,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.7,0:00:13.631338
2023-01-02 21:22:39.659337,29.6,0.0,1.239,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.5,14.0,21.5,40.0,46.1,0,0,0,100,29.6,46.1,30.4,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.8,0:00:13.647414
2023-01-02 21:23:10.325442,29.6,0.0,1.24,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.8,14.0,21.5,40.0,46.0,0,0,0,100,29.6,46.0,30.8,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.7,0:00:13.647908
2023-01-02 21:23:41.007634,29.6,0.0,1.243,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.8,14.0,21.5,40.0,46.0,0,0,0,100,29.6,46.0,30.7,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,31.0,0:00:13.663580
2023-01-02 21:24:11.673683,29.6,0.0,1.241,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.7,14.0,21.5,40.0,46.0,0,0,0,100,29.6,46.0,30.7,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.8,0:00:13.642150
2023-01-02 21:24:42.355697,29.6,0.0,1.24,46.1,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.8,14.0,21.5,40.0,46.0,0,0,0,100,29.6,46.1,30.7,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.7,0:00:13.661986
2023-01-02 21:25:12.989758,29.6,0.0,1.241,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.4,14.0,21.5,40.0,45.9,0,0,0,100,29.6,46.0,30.4,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.5,0:00:13.613962
2023-01-02 21:25:43.687887,29.6,0.0,1.24,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.5,14.0,21.5,40.0,45.9,0,0,0,100,29.6,46.0,30.5,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.4,0:00:13.678115
2023-01-02 21:26:15.281834,29.5,0.0,1.243,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.9,14.0,21.5,40.0,46.0,0,0,0,100,29.5,46.0,30.8,10.0,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.6,0:00:14.575901
2023-01-02 21:26:45.020388,29.5,0.0,1.241,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.2,14.0,21.5,40.0,45.9,0,0,0,100,29.5,46.0,30.2,10.0,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.1,0:00:13.720531
2023-01-02 21:27:15.910141,29.5,0.0,1.241,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.4,14.0,21.5,40.0,46.0,0,0,0,100,29.5,46.0,30.5,10.0,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.4,0:00:13.869637
2023-01-02 21:27:46.960142,29.5,0.0,1.239,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.4,14.0,21.5,40.0,45.9,0,0,0,100,29.6,46.0,30.3,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.7,0:00:14.029990
2023-01-02 21:28:16.618374,None,None,None,None,None,None,None,None,None,2787,0,13,0,0,8420,11229,2843,30.5,14.0,21.5,40.0,45.9,0,0,0,100,29.5,46.0,30.5,10.0,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.8,0:00:13.651813
2023-01-02 21:28:47.620385,29.5,0.0,1.241,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.5,14.0,21.5,40.0,45.9,0,0,0,100,29.5,46.0,30.5,10.0,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.4,0:00:13.978793
2023-01-02 21:29:18.622436,29.5,0.0,1.238,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.0,14.0,21.5,40.0,45.9,0,0,0,100,29.5,46.0,30.1,10.0,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.2,0:00:13.980712
2023-01-02 21:29:49.624503,29.5,0.0,1.239,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.8,14.0,21.5,40.0,45.9,0,0,0,100,29.5,46.0,30.9,10.0,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.8,0:00:13.984310
2023-01-02 21:30:19.634650,29.5,0.0,1.242,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.6,14.0,21.5,40.0,45.9,0,0,0,100,29.5,46.0,30.7,10.0,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.6,0:00:13.991217
2023-01-02 21:30:49.628852,29.5,0.0,1.241,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.0,14.0,21.5,40.0,45.9,0,0,0,100,29.5,45.9,31.1,10.0,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,31.2,0:00:13.975255
2023-01-02 21:31:20.630765,29.5,0.0,1.241,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.5,14.0,21.5,40.0,46.0,0,0,0,100,29.5,46.0,30.5,10.0,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.5,0:00:13.979185
2023-01-02 21:31:51.312778,29.5,0.0,1.242,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.6,14.0,21.5,40.0,46.0,0,0,0,100,29.5,45.9,30.9,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.8,0:00:13.661708
2023-01-02 21:32:22.666368,29.5,0.0,1.24,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.5,14.0,21.5,40.0,46.0,0,0,0,100,29.5,46.0,30.4,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.4,0:00:14.334923
2023-01-02 21:32:52.308151,29.5,0.0,1.241,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.3,14.0,21.5,40.0,45.9,0,0,0,100,29.5,45.9,31.3,9.9,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,31.2,0:00:13.624770
2023-01-02 21:33:22.957976,29.5,0.0,1.241,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.6,14.0,21.5,40.0,45.9,0,0,0,100,29.5,45.9,30.6,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.6,0:00:13.629186
2023-01-02 21:33:53.655961,29.5,0.0,1.242,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.7,14.0,21.5,40.0,46.0,0,0,0,100,29.5,45.9,30.6,9.7,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.5,0:00:13.680234
2023-01-02 21:34:24.321953,29.5,0.0,1.24,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.3,14.0,21.5,40.0,45.9,0,0,0,100,29.5,45.9,30.3,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.3,0:00:13.647438
2023-01-02 21:34:55.004222,29.5,0.0,1.241,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,30.4,14.0,21.5,40.0,45.9,0,0,0,100,29.5,46.0,30.5,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,10.0,42.0,30.5,0:00:13.663800
2023-01-02 21:35:25.654265,29.5,0.0,1.24,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.3,14.0,21.5,40.0,46.0,0,0,0,100,29.5,45.9,31.4,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,31.2,0:00:13.633152
2023-01-02 21:35:56.320347,29.5,0.0,1.242,46.0,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.1,14.0,21.5,40.0,45.9,0,0,0,100,29.5,45.9,31.3,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,31.5,0:00:13.648295
2023-01-02 21:36:27.002528,29.5,0.0,1.24,45.9,48.0,21.5,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.0,14.0,21.5,40.0,45.9,0,0,0,100,29.5,45.9,31.0,9.8,21.5,0,0.3,48.0,48.0,48.0,7.0,9.9,42.0,30.9,0:00:13.663758
